"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1601.9","","","","1"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1513.7","","","","1"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1444.6","","","","1"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1516.7","","","","1"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1503.3","","","","1"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1490.7","","","","1"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1532.4","","","","1"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1558.8","","","","1"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1563.5","","","","1"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1631.9","","","","1"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1713.0","","","","1"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1623.5","","","","1"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1592.9","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1433.0","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1563.7","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465618","4.2.185","1553.8","","","","1"
"1997","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","11477.9","","","","1"
"1998","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","11786.1","","","","1"
"1999","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","12199.6","","","","1"
"2000","Quebec","2016A000224","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465923","5.2.185","12883.1","","","","1"
