"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2136.8","","","","1"
"2004","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2148.0","","","","1"
"2005","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2174.6","","","","1"
"2006","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2113.4","","","","1"
"2007","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2316.9","","","","1"
"2008","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2576.9","","","","1"
"2009","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2411.5","","","","1"
"2010","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2480.7","","","","1"
"2011","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2460.9","","","","1"
"2012","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2560.2","","","","1"
"2013","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2456.5","","","","1"
"2014","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2507.3","","","","1"
"2015","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2473.2","","","","1"
"2016","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2645.2","","","","1"
"2017","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2501.8","","","","1"
"2018","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2762.4","","","","1"
"2019","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2888.8","","","","1"
