"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","263.0","","","","1"
"2020","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","295.1","","","","1"
"2021","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","312.5","","","","1"
"2022","Ontario","2016A000235","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466231","6.2.188","358.6","","","","1"
"1997","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","14.2","","","","1"
"1998","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.3","","","","1"
"1999","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.3","","","","1"
"2000","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","11.2","","","","1"
"2001","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","11.9","","","","1"
"2002","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","13.4","","","","1"
"2003","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","17.0","","","","1"
"2004","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","23.6","","","","1"
"2005","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","21.0","","","","1"
"2006","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","18.2","","","","1"
"2007","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","12.8","","","","1"
"2008","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","13.1","","","","1"
"2009","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.9","","","","1"
"2010","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","9.6","","","","1"
"2011","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","9.9","","","","1"
"2012","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.2","","","","1"
"2013","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.2","","","","1"
"2014","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","10.6","","","","1"
"2015","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","9.7","","","","1"
"2016","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","9.6","","","","1"
"2017","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","6.9","","","","1"
"2018","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","7.4","","","","1"
"2019","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","6.1","","","","1"
"2020","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","5.5","","","","1"
"2021","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","5.8","","","","1"
"2022","Manitoba","2016A000246","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466536","7.2.188","6.7","","","","1"
"1997","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","0.7","","","","1"
"1998","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","0.1","","","","1"
"1999","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","6.0","","","","1"
"2000","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","5.9","","","","1"
"2001","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","5.9","","","","1"
"2002","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","4.6","","","","1"
"2003","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","4.6","","","","1"
"2004","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","5.8","","","","1"
"2005","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","6.1","","","","1"
"2006","Saskatchewan","2016A000247","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62466841","8.2.188","5.8","","","","1"
