"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","448604","","","","0"
"2009","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","433364","","","","0"
"2010","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","419595","","","","0"
"2011","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","406563","","","","0"
"2012","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","399658","","","","0"
"2013","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","396348","","","","0"
"2014","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","396573","","","","0"
"2015","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","396374","","","","0"
"2016","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","402734","","","","0"
"2017","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","413132","","","","0"
"2018","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","429317","","","","0"
"2019","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","446343","","","","0"
"2020","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","462494","","","","0"
"2021","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","470612","","","","0"
"2022","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","478253","","","","0"
"2023","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","489509","","","","0"
"1990","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","461216","","","","0"
"1991","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","464884","","","","0"
"1992","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","471266","","","","0"
"1993","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","479674","","","","0"
"1994","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","488740","","","","0"
"1995","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","495078","","","","0"
"1996","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","498968","","","","0"
"1997","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","498179","","","","0"
"1998","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","494369","","","","0"
"1999","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","488196","","","","0"
"2000","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","477441","","","","0"
"2001","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","467505","","","","0"
"2002","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","461601","","","","0"
"2003","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","457606","","","","0"
"2004","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","457811","","","","0"
"2005","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","465335","","","","0"
"2006","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","477918","","","","0"
"2007","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","494457","","","","0"
