"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","224093","","","","0"
"2011","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","223047","","","","0"
"2012","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","224692","","","","0"
"2013","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","228934","","","","0"
"2014","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","233970","","","","0"
"2015","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","238544","","","","0"
"2016","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","244661","","","","0"
"2017","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","252059","","","","0"
"2018","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","260676","","","","0"
"2019","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","268781","","","","0"
"2020","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","276732","","","","0"
"2021","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","280980","","","","0"
"2022","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","286242","","","","0"
"2023","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","294497","","","","0"
"1990","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","181741","","","","0"
"1991","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","181552","","","","0"
"1992","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","183037","","","","0"
"1993","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","184737","","","","0"
"1994","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","188494","","","","0"
"1995","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","192696","","","","0"
"1996","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","197626","","","","0"
"1997","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","203820","","","","0"
"1998","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","212168","","","","0"
"1999","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","218119","","","","0"
"2000","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","222947","","","","0"
"2001","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","227791","","","","0"
"2002","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","233169","","","","0"
"2003","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","235460","","","","0"
"2004","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","238842","","","","0"
"2005","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","244437","","","","0"
"2006","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","248503","","","","0"
"2007","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","249449","","","","0"
"2008","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","250356","","","","0"
"2009","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","249833","","","","0"
"2010","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","247411","","","","0"
"2011","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","247364","","","","0"
"2012","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","245001","","","","0"
"2013","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","244582","","","","0"
