"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","275206","","","","0"
"2001","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","280442","","","","0"
"2002","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","279727","","","","0"
"2003","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","276951","","","","0"
"2004","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","276487","","","","0"
"2005","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","278546","","","","0"
"2006","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","281819","","","","0"
"2007","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","281123","","","","0"
"2008","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","279880","","","","0"
"2009","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","279019","","","","0"
"2010","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","279983","","","","0"
"2011","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","282507","","","","0"
"2012","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","282545","","","","0"
"2013","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","278760","","","","0"
"2014","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","276681","","","","0"
"2015","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","273112","","","","0"
"2016","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","274741","","","","0"
"2017","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","274880","","","","0"
"2018","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","276319","","","","0"
"2019","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","274804","","","","0"
"2020","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","271013","","","","0"
"2021","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","264216","","","","0"
"2022","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","282016","","","","0"
"2023","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","292208","","","","0"
"1990","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","237082","","","","0"
"1991","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","239414","","","","0"
"1992","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","245862","","","","0"
"1993","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","251257","","","","0"
"1994","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","253849","","","","0"
"1995","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","254264","","","","0"
"1996","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","259488","","","","0"
"1997","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","262083","","","","0"
"1998","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","259831","","","","0"
"1999","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","261824","","","","0"
"2000","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","263420","","","","0"
"2001","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","268232","","","","0"
"2002","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","274284","","","","0"
"2003","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","281223","","","","0"
"2004","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","286850","","","","0"
"2005","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","290690","","","","0"
"2006","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","291356","","","","0"
"2007","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","293411","","","","0"
"2008","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","296680","","","","0"
"2009","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","301343","","","","0"
"2010","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","304769","","","","0"
"2011","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","302418","","","","0"
"2012","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","311138","","","","0"
"2013","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","316641","","","","0"
