"REF_DATE","GEO","DGUID","Sales taxes","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4053.6","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4185.5","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4281.8","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4298.9","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4362.3","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4458.7","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4586.2","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","4841.5","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","5004.5","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","5185.3","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","5894.6","","","","1"
"2021","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","5971.7","","","","1"
"2022","Quebec","2016A000224","Excluding sales taxes","Alcoholic beverages","Dollars","81","millions","6","v99923312","6.1.6","5987.2","","","","1"
"2007","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2204.0","","","","1"
"2008","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2236.6","","","","1"
"2009","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2370.9","","","","1"
"2010","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2666.4","","","","1"
"2011","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2660.8","","","","1"
"2012","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2742.9","","","","1"
"2013","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","2914.6","","","","1"
"2014","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3052.7","","","","1"
"2015","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3094.9","","","","1"
"2016","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3185.1","","","","1"
"2017","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3215.3","","","","1"
"2018","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3295.8","","","","1"
"2019","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3318.3","","","","1"
"2020","Quebec","2016A000224","Excluding sales taxes","Tobacco","Dollars","81","millions","6","v99923313","6.1.7","3366.3","","","","1"
