"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","54.5","","","","1"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","57.1","","","","1"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","61.1","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","11.6","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","10.5","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465619","4.2.186","33.8","","","","1"
"1997","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","926.9","","","","1"
"1998","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","973.2","","","","1"
"1999","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","937.7","","","","1"
"2000","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","992.7","","","","1"
"2001","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","913.7","","","","1"
"2002","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","818.9","","","","1"
"2003","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","774.9","","","","1"
"2004","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","805.3","","","","1"
"2005","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","868.5","","","","1"
"2006","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","920.6","","","","1"
"2007","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1018.0","","","","1"
"2008","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1068.6","","","","1"
"2009","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","964.1","","","","1"
"2010","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1101.4","","","","1"
"2011","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1283.2","","","","1"
"2012","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1327.0","","","","1"
"2013","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1268.8","","","","1"
"2014","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1494.9","","","","1"
"2015","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1501.4","","","","1"
"2016","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1652.8","","","","1"
"2017","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1788.0","","","","1"
"2018","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1846.3","","","","1"
"2019","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1953.6","","","","1"
"2020","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","447.1","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","310.1","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465924","5.2.186","1065.5","","","","1"
"1997","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1591.8","","","","1"
"1998","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1606.7","","","","1"
"1999","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1646.0","","","","1"
"2000","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1673.4","","","","1"
"2001","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1513.6","","","","1"
"2002","Ontario","2016A000235","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62466229","6.2.186","1344.3","","","","1"
