Economy_key,Location_key,Date_key,year,Sector,GDP,GDP per capita,GDP growth rate
307,28,9863,2017,All industries,1986612.0999999999,54360.59715296794,3.112005811109353
308,29,10228,2018,All industries,2043333.7,55117.05673890866,2.8551925159421065
309,30,10593,2019,All industries,2083398.1,55382.2820397254,1.960737005414237
310,31,10958,2020,All industries,1980907.0,52089.87500420078,-4.919419865075236
311,32,11324,2021,All industries,2085175.1,54528.831483291884,5.263654477469171
312,33,11689,2022,All industries,2162409.5,55533.17728092843,3.703976706800294
313,8,2558,1997,All transportation,56941.600000000006,1904.0225710283455,0.0
314,9,2923,1998,All transportation,57871.9,1919.1367265576623,1.6337791702375704
315,10,3288,1999,All transportation,60569.399999999994,1992.3301928740775,4.661156796303545
316,11,3653,2000,All transportation,63716.1,2076.4081545395857,5.195197575013144
317,12,4019,2001,All transportation,64880.3,2091.5058595257933,1.827167701726884
318,13,4384,2002,All transportation,64884.100000000006,2069.061138965954,0.005856939625736857
319,14,4749,2003,All transportation,65113.2,2057.7792605954387,0.35309112710200097
320,15,5114,2004,All transportation,67143.8,2102.2638697807342,3.1185688923290655
321,16,5480,2005,All transportation,71011.4,2202.400218443028,5.760174431593068
322,17,5845,2006,All transportation,72767.0,2234.0907193666503,2.4722790988489285
323,18,6210,2007,All transportation,73646.2,2239.2427642578104,1.2082399989006065
324,19,6575,2008,All transportation,73375.2,2206.9522762421175,-0.36797553709492226
325,20,6941,2009,All transportation,70725.4,2103.040585495082,-3.61130191127248
326,21,7306,2010,All transportation,73202.7,2152.6469140562717,3.502701999564528
327,22,7671,2011,All transportation,76025.2,2213.946554000162,3.855732097313358
328,23,8036,2012,All transportation,76980.5,2217.6021676934797,1.2565570363511025
329,24,8402,2013,All transportation,78381.5,2234.301128086686,1.8199414137346492
330,25,8767,2014,All transportation,83059.7,2344.063478348773,5.968500220077444
331,26,9132,2015,All transportation,85245.4,2387.5255156927287,2.631480730125446
332,27,9497,2016,All transportation,87289.2,2417.2600094215572,2.3975487240367244
333,28,9863,2017,All transportation,92585.40000000001,2533.457654690817,6.067417274989362
334,29,10228,2018,All transportation,94349.2,2544.9833327129295,1.905051984438133
335,30,10593,2019,All transportation,97362.5,2588.155108278521,3.1937737680870715
336,31,10958,2020,All transportation,74262.59999999999,1952.8072501571048,-23.725664398510727
337,32,11324,2021,All transportation,75802.90000000001,1982.300460064398,2.0741261415571532
338,33,11689,2022,All transportation,85522.2,2196.309021975263,12.82180497052221
339,8,2558,1997,Ground transportation,6672.8,223.12618212270013,0.0
340,9,2923,1998,Ground transportation,6673.900000000001,221.3185777445217,0.016484833952779
341,10,3288,1999,Ground transportation,7156.4,235.39793678464787,7.229655823431558
342,11,3653,2000,Ground transportation,7730.7,251.93143523064305,8.02498462914314
343,12,4019,2001,Ground transportation,7368.599999999999,237.53697311050902,-4.683922542589936
344,13,4384,2002,Ground transportation,7986.2,254.66849456199438,8.381510734739294
345,14,4749,2003,Ground transportation,7830.500000000001,247.4681093863085,-1.949613082567414
346,15,5114,2004,Ground transportation,7948.3,248.86026582019798,1.5043739224825936
347,16,5480,2005,Ground transportation,8273.1,256.5880583568415,4.086408414377929
348,17,5845,2006,Ground transportation,8254.2,253.42025390350304,-0.22845124560321173
349,18,6210,2007,Ground transportation,8969.3,272.71522665741855,8.663468294928634
350,19,6575,2008,Ground transportation,9574.4,287.9752814800168,6.7463458686854105
351,20,6941,2009,Ground transportation,8817.0,262.1760900936599,-7.910678475935828
352,21,7306,2010,Ground transportation,9143.0,268.8650928888756,3.697402744697742
353,22,7671,2011,Ground transportation,9284.5,270.37596455667995,1.5476320682489275
354,23,8036,2012,Ground transportation,9427.199999999999,271.572400221874,1.5369702191824874
355,24,8402,2013,Ground transportation,9555.0,272.36972090184906,1.3556517311609007
356,25,8767,2014,Ground transportation,9676.800000000001,273.0931302097818,1.2747252747252968
357,26,9132,2015,Ground transportation,9749.5,273.0608339599117,0.7512814153439074
358,27,9497,2016,Ground transportation,10041.1,278.0636032934521,2.9909226114159804
359,28,9863,2017,Ground transportation,9890.3,270.6329101800995,-1.5018274890201355
360,29,10228,2018,Ground transportation,10570.1,285.11877498811793,6.873401211287833
361,30,10593,2019,Ground transportation,10882.3,289.280578609006,2.953614440733765
362,31,10958,2020,Ground transportation,4785.9,125.8498923889938,-56.02124550876193
363,32,11324,2021,Ground transportation,4551.6,119.02761997270701,-4.895630915815197
364,33,11689,2022,Ground transportation,6594.7,169.35952427814377,44.88751208366286
365,8,2558,1997,Water Transportation,1967.4,65.78624426150945,0.0
366,9,2923,1998,Water Transportation,1916.9,63.56786611703405,-2.566839483582395
367,10,3288,1999,Water Transportation,2095.3,68.92142654754802,9.306693098231534
368,11,3653,2000,Water Transportation,2238.0,72.93292354459223,6.81048059943683
